hospital_name,doctor_name,total_revenue,doctor_rank
"Group Carr","Dr. Dean Vargas",39054.18,1
"Group Carr","Randall Martinez",11476.74,2
"Group Carrillo","Anthony Spence",34436.93,1
"Group Carroll","Michael Sharp",50088.60,1
"Group Carroll","Jeremy Long",16181.58,2
"Group Castaneda","Angel Johnson",44452.31,1
"Group Castillo","Connie Austin",54242.40,1
"Group Castillo","Karen Ward",2625.84,2
"Group Chan","Nicholas Daniels",45840.80,1
"Group Chandler","Julie Williamson",45611.49,1
"Group Chandler","Andrea Powell",20091.20,2
"Group Chaney","Robert Little",46094.76,1
"Group Chapman","William Williams",31806.35,1
"Group Chapman","Brittany Howard",12702.58,2
"Group Chavez","Michelle Bradley",37868.47,1
"Group Chavez","Jessica Russell",2507.35,2
"Group Chen","Brian Shaw",14099.52,1
"Group Cherry","Maria Wallace",23688.72,1
"Group Christensen","Crystal Martinez",15875.02,1
"Group Christian","Deanna Smith",34021.29,1
"Group Clark","Jessica Taylor",48315.10,1
"Group Clark","Danielle Miller",46936.12,2
"Group Clark","Jamie King",39474.32,3
"Group Clarke","Stephanie Gibson",18527.05,1
"Group Cline","Kurt Sanchez",48211.53,1
"Group Cline","Mr. Jesse Howard MD",13957.67,2
"Group Cobb","Joshua Sampson",32528.58,1
"Group Cochran","Kendra Hughes",46408.70,1
"Group Cochran","Melody Morales",8923.96,2
"Group Coffey","Rebecca Wilson",40795.99,1
"Group Cole","James Myers",45922.86,1
"Group Cole","Charles Williams",31224.62,2
"Group Cole","Jason Frederick",24557.41,3
"Group Coleman","Leah Moore",25148.34,1
"Group Coleman","Stephanie Mathis",21524.09,2
"Group Coleman","Tony Gill",16010.14,3
"Group Combs","Paul Olson",22232.57,1
"Group Compton","Steven Simmons",42492.61,1
"Group Conley","Steven Sloan",46651.03,1
"Group Cook","James Gutierrez",48861.94,1
"Group Cook","Daniel Sanchez DDS",44502.26,2
"Group Cook","Faith Baldwin",41564.11,3
"Group Cooke","Mrs. Michelle Conley DDS",17457.21,1
"Group Cooper","Philip Owens",57731.26,1
"Group Cooper","James Santiago",44884.63,2
"Group Cooper","Michael Becker",1197.73,3
"Group Cordova","Lori Lynch",37453.44,1
"Group Cox","Donna Hall",45355.07,1
"Group Craig","Debbie Ferguson DVM",37878.93,1
"Group Crawford","Christopher Olson",7508.65,1
"Group Crosby","Felicia Morrison",4677.60,1
"Group Cross","Robert Thomas",49259.71,1
"Group Cross","Debbie Davis",32527.56,2
"Group Cross","Kevin Lynch",29009.49,3
"Group Cruz","Frank Wilson",100743.68,1
"Group Cruz","Jerry Peters",44970.29,2
"Group Cruz","John Brennan",2353.69,3
"Group Cuevas","Crystal Hess",11812.90,1
"Group Cunningham","Erica Becker",20530.59,1
"Group Curtis","Amanda Garcia",45789.96,1
"Group Curtis","Darryl Swanson",38249.91,2
"Group Daniel","Juan Hodges",52217.30,1
"Group Daugherty","Christine Shannon",31005.33,1
"Group Daugherty","Theresa Romero",30943.98,2
"Group David","Joshua Mcdowell",15417.82,1
"Group Davidson","Justin Flores",37508.91,1
"Group Davidson","Justin Barrett",30909.10,2
"Group Davidson","Carolyn Woods",28588.91,3
"Group Davis","Richard Davis",77366.90,1
"Group Davis","Crystal Davis",49191.39,2
"Group Davis","Krystal Hoover",49050.24,3
"Group Dawson","Alyssa Browning",32977.99,1
"Group Dawson","Jamie Webb",11203.39,2
"Group Dean","Mark Buchanan",46380.23,1
"Group Dean","Kimberly Diaz",20756.50,2
"Group Delgado","Kathleen Perez",48175.81,1
"Group Delgado","Julia Cox",14362.31,2
"Group Diaz","David Garrison",28667.10,1
"Group Dixon","Amber Payne",13224.30,1
"Group Dixon","Pamela Davis",4290.81,2
"Group Dixon","Kristina Aguilar",2930.97,3
"Group Dodson","Sylvia Richmond",39258.98,1
"Group Dominguez","Sara Clark",20062.12,1
"Group Dorsey","Lisa Perez",56149.78,1
"Group Dougherty","Nicholas Watkins",44846.23,1
"Group Dougherty","Elizabeth Pearson",41141.21,2
"Group Douglas","Katrina Lee",3940.36,1
"Group Doyle","Kristen Johnson",42214.98,1
"Group Doyle","Carl Murphy",37692.72,2
"Group Duarte","Patricia Shah",32473.62,1
"Group Duncan","Jamie Garcia",81452.82,1
"Group Duncan","Brad Hernandez",33765.44,2
"Group Duncan","John Hartman",17993.23,3
"Group Dunlap","Katrina Williams",34749.89,1
"Group Dunn","Thomas Obrien",47933.79,1
"Group Durham","Bruce Goodman",15104.11,1
"Group Dyer","Jessica Lee DDS",45936.92,1
"Group Dyer","Christopher Vega",32262.69,2
"Group Dyer","Olivia Santana",30527.93,3
"Group Edwards","Stephanie Carpenter",40557.07,1
"Group Edwards","Sarah Dixon",31004.70,2
"Group Edwards","Heather Freeman",24868.60,3
"Group Elliott","Thomas Hodges",37356.74,1
"Group Elliott","Randy Baker",32393.11,2
"Group Elliott","Scott Jenkins",22972.35,3
"Group Ellis","Brittany Cruz",16788.31,1
"Group Ellis","Shawn White",9576.69,2
"Group Ellis","Ann Herring",7373.66,3
"Group Ellison","Chad Henderson",32643.06,1
"Group Ellison","Leslie Sawyer",23026.16,2
"Group Erickson","Margaret Carroll",48382.75,1
"Group Erickson","Daniel Parker",38206.71,2
"Group Espinoza","Janet Saunders",40642.29,1
"Group Estrada","Devin Paul",30335.90,1
"Group Evans","Erin Garner",43604.22,1
"Group Evans","David Keller",27828.94,2
"Group Evans","Matthew Gilbert",27004.28,3
"Group Farley","Dr. Alexander Lynch",96206.86,1
"Group Farmer","Shannon Ballard",42083.88,1
"Group Farmer","Sara Evans",23215.09,2
"Group Ferguson","Robert Guzman",31232.67,1
"Group Ferguson","Jeremy Oliver",20232.01,2
"Group Ferguson","Emma Schaefer",6327.47,3
"Group Fernandez","Ashley Jackson",50121.13,1
"Group Fernandez","Katherine Chung",42743.89,2
"Group Fields","Erica Hall",42524.29,1
"Group Fields","Samantha Evans",39075.77,2
"Group Fields","Ivan Evans",4631.86,3
"Group Fisher","Terri Thompson",64716.84,1
"Group Fisher","Aaron Maxwell",46146.67,2
"Group Fisher","Lauren Morgan",27887.66,3
"Group Fleming","Taylor Baker",40028.30,1
"Group Fleming","Hailey Mccall",28974.63,2
"Group Fleming","Jason Johnson",2612.49,3
"Group Fletcher","Amanda Gonzalez",78788.10,1
"Group Fletcher","Edwin Wilson",12101.03,2
"Group Flores","Ethan Hampton",38459.60,1
"Group Flores","Sheila Rivera",34284.43,2
"Group Flores","Erika Bean",20502.66,3
"Group Flowers","Michelle Stone",39327.30,1
"Group Floyd","Melanie Castro",48312.01,1
"Group Flynn","Steven Padilla",29645.90,1
"Group Flynn","Brandon Wilkinson",10075.71,2
"Group Forbes","Rebecca Morris",31448.92,1
"Group Ford","Cody Gibbs",39624.97,1
"Group Ford","Meghan Esparza",22896.16,2
"Group Foster","Mario Jackson",58791.76,1
"Group Foster","Paula Hood",7452.70,2
"Group Franco","Melissa Harvey",15292.54,1
"Group Frank","Richard Spencer",15153.01,1
"Group Franklin","Leonard Rush",17831.08,1
"Group Frederick","Charles Murphy",20510.02,1
"Group Freeman","Monica Gonzalez",9050.80,1
"Group French","Margaret Lynn",49807.53,1
"Group Frye","Christian Lewis",43210.67,1
"Group Frye","Robert Jordan",5975.38,2
"Group Fuentes","Kimberly Juarez",46187.52,1
"Group Fuller","Dillon Reeves",31192.65,1
"Group Gallagher","Tracy Woodard",6007.83,1
"Group Garcia","Terry Maxwell",47478.31,1
"Group Garcia","Lori Avery",43753.56,2
"Group Garcia","John Smith",42238.82,3
"Group Gardner","Kathleen Macias",16785.66,1
"Group Gardner","Shannon Wheeler",8594.53,2
"Group Gardner","Jesus Mcgee",4555.27,3
"Group Garner","Jeffrey Myers",25834.55,1
"Group Garner","Miguel Chavez",950.47,2
"Group Garrison","Breanna Smith",48545.07,1
"Group Garrison","Christina Gray",3678.21,2
"Group Gates","Sarah Morris",41411.61,1
"Group Gibbs","Christina White",23926.30,1
"Group Gibbs","Christopher Garner",6988.69,2
"Group Gibson","Ms. Kayla Wells MD",20632.47,1
"Group Gilbert","Christine Thompson",39026.26,1
"Group Gilbert","Rebecca Atkins",15315.34,2
"Group Gillespie","Kathryn Williams",81299.78,1
"Group Gilmore","Debra Williamson",45659.10,1
"Group Glass","Mark Jensen",44344.60,1
"Group Glover","Carmen Herman",51316.62,1
"Group Gomez","Andrew Raymond",41434.21,1
"Group Gomez","Michael Fields",34728.19,2
"Group Gomez","Candice Kemp",6788.96,3
"Group Gonzales","Walter Leon",31411.97,1
"Group Gonzalez","Jordan Johnson",46771.88,1
"Group Gonzalez","Clayton Jordan",44256.17,2
"Group Gonzalez","Lisa Garcia",41520.59,3
"Group Gordon","Sean Peck",4326.12,1
"Group Graham","Melinda Lopez",42785.99,1
"Group Graham","Alexis Brown",38405.35,2
"Group Graham","Kevin Smith",19264.68,3
"Group Grant","Nathan King",45742.29,1
"Group Grant","Ryan Salinas",45213.05,2
"Group Grant","Ryan Burns",40799.81,3
"Group Graves","Danielle Jennings",13763.98,1
"Group Graves","Abigail Noble",4051.11,2
"Group Gray","Diane Jordan",61528.90,1
"Group Gray","Spencer Miller",34142.99,2
"Group Gray","John Brewer",30121.28,3
"Group Green","Sheila Valencia",49678.57,1
"Group Green","Christopher French",48655.24,2
"Group Green","Ronald Jennings",39140.42,3
"Group Greene","Norman Thompson",22355.05,1
"Group Greer","Michael Stone",43686.89,1
"Group Gregory","Vanessa Peterson",6337.22,1
"Group Griffith","Nicole Hernandez",59448.80,1
"Group Grimes","Jessica Barnes",11184.01,1
"Group Guerra","Susan Fowler",35842.61,1
"Group Guerrero","Laura Gibson",25728.37,1
"Group Gutierrez","Abigail Jones",33782.29,1
"Group Gutierrez","Sue Hicks",30889.79,2
"Group Gutierrez","Anthony Collins",25077.37,3
"Group Guzman","Ashley Byrd",25307.04,1
"Group Guzman","Jeffery Hess",19807.89,2
"Group Haley","April Taylor",49152.83,1
"Group Hall","Richard Howell",31990.12,1
"Group Hall","Diane Pratt",5413.99,2
"Group Hamilton","Samuel Hall",22471.40,1
"Group Hamilton","Carla Russell",21247.83,2
"Group Hamilton","Devon Murphy",6803.47,3
"Group Hampton","Renee Moore",15031.36,1
"Group Hancock","Sara Nolan",26650.04,1
"Group Hansen","Steven Aguilar",54473.46,1
"Group Hansen","Colleen Smith",32659.16,2
"Group Hansen","Amy Burnett",-1306.66,3
"Group Hanson","Michael Cole",44858.28,1
"Group Hardin","Amanda Frank",6743.55,1
"Group Hardy","Rachel Robinson",11392.98,1
"Group Hardy","Margaret Kaiser",8812.13,2
"Group Harper","Omar Richards",49447.43,1
"Group Harper","Dennis Morales",30210.31,2
"Group Harper","Miranda Burns",20844.99,3
"Group Harrington","Leslie Dixon",36748.44,1
"Group Harris","Jenna Todd",84685.86,1
"Group Harris","Jeffrey Bruce",48094.25,2
"Group Harris","Mark Patel",28590.60,3
"Group Hartman","Kara Torres",4985.08,1
"Group Hawkins","Jennifer Bowen",25401.26,1
"Group Hawkins","Kerry Mcknight",2634.30,2
"Group Hayes","Jeffery Patterson",50115.64,1
"Group Hayes","Andrew Morris",37912.09,2
"Group Hayes","Matthew Gomez",23589.66,3
"Group Haynes","Randall Johnson",36663.16,1
"Group Heath","Keith Mitchell",43683.44,1
"Group Hebert","Patrick Simpson",30832.19,1
"Group Henderson","Gregory Miller",45618.00,1
"Group Henderson","Bryan Rivera",29216.58,2
"Group Hendricks","Amanda Pierce",23607.37,1
"Group Henry","Charles Martin",42395.29,1
"Group Henry","Julie Rodgers",28325.90,2
"Group Henry","Ryan Lewis",23553.06,3
"Group Henson","Judy Mccullough",48720.20,1
"Group Herman","Laura Jenkins",32227.91,1
"Group Herman","Paul Crawford",15585.12,2
"Group Hernandez","Anita Smith",92307.86,1
"Group Hernandez","Katherine Lawrence",42397.23,2
"Group Hernandez","Maria Sheppard",35791.07,3
"Group Herrera","Victoria Lee",42208.96,1
"Group Herrera","Daniel Reeves",28562.62,2
"Group Herring","Lisa Jordan",14239.17,1
"Group Herring","Devin Bernard",12860.05,2
"Group Hickman","Kim Zuniga",29744.14,1
"Group Hickman","Christopher Riley",15996.49,2
"Group Hicks","Alicia White",28176.55,1
"Group Hicks","Michael Fleming",2274.35,2
"Group Higgins","Michael Blake",39694.39,1
"Group Hill","Alan Morris",39822.53,1
"Group Hill","Anna Espinoza",22325.04,2
"Group Hill","Jeremy Orozco",20498.52,3
"Group Hines","Anita Clay",11648.45,1
"Group Hodge","Daniel Steele",48501.52,1
"Group Holder","Raymond Mercer",46467.77,1
"Group Holland","Barbara Miller",19946.08,1
"Group Holmes","Robin Mccall",43289.04,1
"Group Holmes","Paige Caldwell",41859.30,2
"Group Holmes","Jordan Brennan",12975.13,3
"Group Hood","Lisa Edwards",24870.10,1
"Group Hoover","Brandon Steele",21456.06,1
"Group Hopkins","Kristi Smith",37985.06,1
"Group Hopkins","Maurice Dillon",7971.55,2
"Group Horn","Lisa Nunez",37523.98,1
"Group Horn","Jessica Sharp",28399.64,2
"Group Horton","Madeline Fleming",24209.98,1
"Group Houston","David Garcia",7465.53,1
"Group Howard","Franklin Williams",39732.03,1
"Group Howard","Stephen Hendrix",25276.62,2
"Group Howard","Elizabeth Brown",18875.60,3
"Group Howell","Lisa Fowler",31702.83,1
"Group Huang","Patrick Colon",28307.19,1
"Group Hudson","Sheri Hoffman",36954.26,1
"Group Hudson","Ryan Mclean",34587.81,2
"Group Hudson","Abigail Mccoy",31701.05,3
"Group Huerta","Kimberly Howard",32314.16,1
"Group Huff","Ryan Park",17240.05,1
"Group Huff","Frank Whitney",16935.84,2
"Group Hughes","Lisa Webb",45741.94,1
"Group Hughes","Denise George",28877.63,2
"Group Hughes","Jennifer Santana",22783.69,3
"Group Humphrey","Timothy Kennedy",36960.99,1
"Group Hunt","Robert Levine",47563.51,1
"Group Hunt","Donald Gonzalez",26130.28,2
"Group Hunt","Kelsey Miller",24420.96,3
"Group Hurley","Kevin Wheeler",47367.23,1
"Group Hurley","Danny Flores",14863.39,2
"Group Hurst","Jasmine Todd",38151.10,1
"Group Hurst","Leslie White",27664.52,2
"Group Jackson","Danielle Brennan",39181.66,1
"Group Jackson","Judy Graham",21674.48,2
"Group Jackson","Dana Robinson",9640.15,3
"Group Jacobs","Alexander Mills",89356.08,1
"Group Jacobs","Teresa Olson",44377.86,2
"Group Jacobs","Kelly Nelson",19339.94,3
"Group Jacobson","Olivia Lawrence",37623.65,1
"Group James","Michael Howard DVM",46337.78,1
"Group James","Tyler Fritz",8468.29,2
"Group Jenkins","Kristy Brown",26874.66,1
"Group Jennings","Darius Davis",32894.43,1
"Group Jennings","Lori Leach",856.57,2
"Group Johnson","Joshua Flynn",89400.98,1
"Group Johnson","Michael Hall",53273.26,2
"Group Johnson","Courtney Burton",47267.93,3
"Group Jones","Charles Hinton",43338.86,1
"Group Jones","Thomas Mcintyre",42267.42,2
"Group Jones","Deborah Villegas",41763.64,3
"Group Jordan","Donna Padilla",32213.80,1
"Group Jordan","Brian Schroeder",14087.11,2
"Group Jordan","Jesse Ramsey",12078.98,3
"Group Joseph","Lauren Simmons",24670.58,1
"Group Juarez","Kathleen Norton",37070.21,1
"Group Kane","Mary Washington",16246.70,1
"Group Keller","Teresa Sexton",37812.71,1
"Group Keller","Maria Newton",29350.84,2
"Group Keller","Linda Buckley MD",12433.82,3
"Group Kelley","Margaret Johnson",39486.28,1
"Group Kelley","Patricia Whitaker",28698.09,2
"Group Kelley","Brittany Davis",28168.22,3
"Group Kelly","Leslie Shannon",39408.30,1
"Group Kelly","Tracy Parker",9628.32,2
"Group Kelly","Randy Dunn",5919.18,3
"Group Kidd","Michelle Burton",2415.56,1
"Group Kim","Mary Ball",42342.40,1
"Group Kim","Luis Franklin",36508.85,2
"Group King","Leroy Burns",44378.20,1
"Group King","Justin Molina",20347.36,2
"Group King","Amanda Martinez",9538.36,3
"Group Kirby","Natalie Long",15002.46,1
"Group Klein","Dylan Webb",50009.33,1
"Group Knight","Philip Johnson",42613.94,1
"Group Knight","Paul Meyer",40057.45,2
"Group Knight","Jessica Stokes",14322.72,3
"Group Knox","Albert Wright",46661.26,1
"Group Koch","Michael Morrow",37013.74,1
"Group Lamb","Daniel Brown",24489.23,1
"Group Lane","Alexandria Hicks",33452.73,1
"Group Lane","Anthony Gregory",5729.09,2
"Group Lara","Brittany Russell",48921.00,1
"Group Larsen","Jesse Soto",39223.00,1
"Group Larson","Mary Knight",34960.62,1
"Group Larson","Mrs. Shelly Roberts PhD",23355.61,2
"Group Larson","Terry Nelson",20115.98,3
"Group Lawrence","Robert Navarro PhD",9512.53,1
"Group Lawson","William Snyder",39368.13,1
"Group Lawson","Emily Wells",28303.62,2
"Group Lawson","Sherry Allen",22935.46,3
"Group Le","Timothy Oliver",41042.97,1
"Group Le","Alison Phillips",23592.69,2
"Group Leach","Melissa Black",18176.26,1
"Group Lee","Michael Garza",43959.82,1
"Group Lee","Gary Leblanc",34701.08,2
"Group Lee","Christopher Johnson",28688.40,3
"Group Levy","Scott Strickland",27165.39,1
"Group Lewis","Jeffrey Chavez",61523.64,1
"Group Lewis","Melissa West",36886.90,2
"Group Lewis","Nicole Thomas",35908.41,3
"Group Li","Becky Meyer",44160.56,1
"Group Lindsey","Steven Esparza",32396.11,1
"Group Lindsey","Megan Mckee",13677.33,2
"Group Lindsey","Maria Salazar",1872.41,3
"Group Little","Timothy Evans",27838.03,1
"Group Little","John Castillo",17130.09,2
"Group Little","Steven Cook",10532.78,3
"Group Lloyd","Olivia Bush",36298.20,1
"Group Lloyd","Jeffrey Brennan",29079.88,2
"Group Long","Linda Sparks",36522.17,1
"Group Long","Anthony Kim",16481.85,2
"Group Long","Brandy Harris",13969.29,3
"Group Lopez","Joseph Cameron",82323.48,1
"Group Lopez","Justin Alexander",42975.75,2
"Group Lopez","Victor Brown",42622.17,3
"Group Love","David Leach",28901.01,1
"Group Lowe","Robin Cruz",20884.05,1
"Group Lowe","Kelsey Powell",19339.58,2
"Group Lucas","Heidi Franklin",26092.29,1
"Group Lucero","Gregory Sutton",44823.09,1
"Group Lucero","Roger Patrick",44174.68,2
"Group Lucero","Kathleen Landry",18056.96,3
"Group Luna","Laura Maldonado",49310.86,1
"Group Luna","Alexander Jackson",7799.53,2
"Group Lutz","Jeffrey Green",50466.77,1
"Group Lynch","Mr. Matthew Pittman",97285.30,1
"Group Lynch","Catherine Griffith",48036.52,2
"Group Lynch","Amanda Meza",45026.15,3
"Group Lyons","Austin Bradley",31692.60,1
"Group Macdonald","Michaela Reese",98455.52,1
"Group Mack","Donna Singh",21505.39,1
"Group Mack","Kelsey Schneider",13444.80,2
"Group Madden","Jerry King",46173.65,1
"Group Maldonado","Mckenzie Good",48367.24,1
"Group Maldonado","Derek Kaiser",44159.78,2
"Group Maldonado","Angela Burton",38953.60,3
"Group Malone","Steven Jones",41904.90,1
"Group Mann","Lauren Diaz",46071.23,1
"Group Mann","Ryan Simmons",18062.60,2
"Group Mann","Cody Jefferson",12485.06,3
"Group Marks","Loretta Ochoa",49741.33,1
"Group Marsh","William Howell",3852.06,1
"Group Marshall","Christina Hardy",25627.12,1
"Group Martin","David Sanchez",49897.95,1
"Group Martin","Martha Smith",39185.33,2
"Group Martin","William Green",35251.91,3
"Group Martinez","Amber Berry",91275.40,1
"Group Martinez","Sheila Smith",50133.00,2
"Group Martinez","John Sanders",48370.35,3
"Group Mason","Roberto Reid",48397.15,1
"Group Mason","Javier Robles",47137.57,2
"Group Mason","Joseph Jones",33503.07,3
"Group Massey","Casey Zamora",11145.04,1
"Group Massey","Hayden Clay",9010.13,2
"Group Massey","Thomas Young",7044.34,3
"Group Mata","Vincent Hunter",28401.77,1
"Group Mathews","Danielle Neal",42540.42,1
"Group Maxwell","Rebecca Miller",50261.01,1
"Group Maxwell","Ross Sandoval",38182.90,2
"Group Mayer","Catherine Garrett",25025.74,1
"Group Mayer","Jessica Delgado",11905.48,2
"Group Mayo","Michelle Bailey",22293.49,1
"Group Mays","Paige Moore",74916.66,1
"Group Mccarthy","Susan Thompson",4052.89,1
"Group Mcconnell","Kathryn Ray",-367.20,1
"Group Mccormick","Christopher Lopez",33571.93,1
"Group Mcdonald","Connie Lynch",85716.12,1
"Group Mcdonald","Betty Dillon DVM",31344.74,2
"Group Mcdonald","Joseph Garcia",20533.11,3
"Group Mcfarland","Sara Kidd",65526.54,1
"Group Mcintosh","Lisa Walter",27329.87,1
"Group Mckay","Danny Foster",15167.44,1
"Group Mckee","Bryan Stevenson",11757.83,1
"Group Mckenzie","Brenda Gill",34860.64,1
"Group Mckinney","Carly Dawson",6208.92,1
"Group Mclaughlin","Vincent Baker",26335.83,1
"Group Mclean","Philip Yang",15379.55,1
"Group Mcmillan","Sharon Whitaker",4422.74,1
"Group Mcpherson","Amanda Ramos",3786.29,1
"Group Medina","Jacob Burke",67948.72,1
"Group Medina","Kelly Daniels",33041.01,2
"Group Medina","Kristen Anderson",9291.34,3
"Group Melendez","Ryan Williamson",72238.78,1
"Group Melendez","Sharon Nunez",4293.33,2
"Group Mendoza","Douglas Taylor",38468.17,1
"Group Mendoza","Tina Salas",27232.41,2
"Group Mercer","Katherine Dickerson",39322.30,1
"Group Mercer","Melissa Jackson",9175.48,2
"Group Merritt","Ronnie Smith",2482.84,1
"Group Meyer","Ryan Gill",28281.97,1
"Group Meyer","Rodney Jones",3884.10,2
"Group Middleton","Kelly Olson",19580.87,1
"Group Miles","Marco Griffin",27862.71,1
"Group Miles","Gregory Myers",11527.64,2
"Group Miles","Amy Wilkinson",10228.15,3
"Group Miller","Kelsey Howell",90155.72,1
"Group Miller","Lauren Carpenter",46571.53,2
"Group Miller","Ryan Rodriguez",45317.39,3
"Group Mills","Christian Kim",42398.70,1
"Group Mills","Shane Brown",30281.64,2
"Group Mitchell","Katherine Wright",39103.60,1
"Group Mitchell","Reginald Alexander",37474.65,2
"Group Mitchell","Antonio Kemp",34357.60,3
"Group Molina","Joel Griffin",48527.26,1
"Group Montgomery","Steven Robinson",47408.11,1
"Group Montgomery","Devon Lamb",37488.80,2
"Group Montgomery","Joanne Armstrong",35601.00,3
"Group Moody","Paula Gentry",37692.38,1
"Group Moody","Jason Dillon",8843.48,2
"Group Moon","Jennifer Newton",23035.37,1
"Group Moore","Juan Lopez",48956.48,1
"Group Moore","Joshua Long",48101.20,2
"Group Moore","Joseph Price",45625.13,3
"Group Mora","Edward Robertson",11644.24,1
"Group Morales","Thomas Huber",53160.08,1
"Group Morales","Edward Garza",37613.32,2
"Group Morales","Lauren Rodriguez",21349.05,3
"Group Moran","Nicholas Floyd",29630.95,1
"Group Moreno","Jake Martinez",12270.12,1
"Group Moreno","Mary Harris",5533.58,2
"Group Morgan","Jeffery Molina",29400.43,1
"Group Morgan","James Garcia",14641.64,2
"Group Morgan","Daniel Baker",3662.62,3
"Group Morris","Hannah Grimes",25084.36,1
"Group Morris","Troy Glenn",9308.30,2
"Group Morris","William Sanchez",8683.24,3
"Group Moses","James Baker",23719.59,1
"Group Moss","Jeffrey Richards",48993.56,1
"Group Mueller","Courtney Lopez",28479.88,1
"Group Mullins","Peter Perry",36947.52,1
"Group Mullins","Brittany Bryant",34085.50,2
"Group Murphy","Ashley Jordan",42768.69,1
"Group Murphy","Jesse Hamilton",30482.66,2
"Group Murphy","Sarah Golden",10040.18,3
"Group Myers","Michelle Martinez",42041.85,1
"Group Myers","Brett Rosario",28761.05,2
"Group Myers","Antonio Johnson",7812.69,3
"Group Navarro","Bill Mccann",25979.23,1
"Group Navarro","Barbara Thompson",11332.63,2
"Group Navarro","Robert Payne",7256.06,3
"Group Nelson","Sabrina Sanchez",90356.46,1
"Group Nelson","Heather Maynard",28208.40,2
"Group Nelson","Michael Fleming",18823.00,3
"Group Nguyen","Colton Fox",35072.16,1
"Group Nguyen","Patricia Colon",31516.10,2
"Group Nguyen","William Smith",26660.09,3
"Group Nichols","Justin Weiss",31609.60,1
"Group Nicholson","Deborah Henderson",45968.62,1
"Group Nicholson","Alexandra Ross",19000.79,2
"Group Nicholson","Mrs. Donna Baldwin DDS",2735.07,3
"Group Nixon","Maria Price",28491.61,1
"Group Noble","Joel Woods",37998.47,1
"Group Norton","Julie Johnston",44485.78,1
"Group Nunez","Charles Hays",26349.19,1
"Group Nunez","Kayla Werner",26216.61,2
"Group Obrien","Melissa Anderson",41792.52,1
"Group Obrien","Jonathan Monroe",33055.94,2
"Group Ochoa","Tabitha Baker",43028.05,1
"Group Ochoa","Robert Carpenter",6487.83,2
"Group Oliver","Bryan Morgan",44185.89,1
"Group Oliver","Sarah Davis",38905.00,2
"Group Oliver","Michael White",14893.92,3
"Group Olson","Jennifer Schaefer",48340.85,1
"Group Olson","Joshua Smith",34391.43,2
"Group Oneal","Nicholas Delacruz",45834.91,1
"Group Oneal","Tom Cole",28411.73,2
"Group Ortega","Elizabeth Snyder",41454.69,1
"Group Ortega","Rachael Lee",39699.89,2
"Group Ortega","Benjamin Williams",21634.15,3
"Group Ortiz","Charles Davis",67714.92,1
"Group Ortiz","Jason Sharp",60606.60,2
"Group Ortiz","Kyle Robinson",5898.05,3
"Group Osborn","Linda Snyder",9010.82,1
"Group Owens","Andrew Watson",44231.03,1
"Group Owens","Martin Anderson",31592.51,2
"Group Owens","Sarah Patterson",22249.68,3
"Group Padilla","Richard Ritter",23872.54,1
"Group Page","Kaylee Vasquez",17944.52,1
"Group Page","Samantha Davis",13063.92,2
"Group Palmer","Lisa Guerra",18690.01,1
"Group Park","Chad Collins",38295.22,1
"Group Park","Dr. David Murray",13925.89,2
"Group Parker","Sara Stewart",42000.36,1
"Group Parker","Jordan Peters",26440.89,2
"Group Parker","Benjamin White DDS",18664.59,3
"Group Parks","Harold Sanchez",51138.86,1
"Group Parks","Jesse Schroeder",11990.34,2
"Group Parsons","Kristen Lopez",83333.14,1
"Group Parsons","Jared Soto",38788.31,2
"Group Parsons","Keith Moore",3638.34,3
"Group Patel","Samantha Evans",46016.10,1
"Group Patterson","Robert Hill",49965.63,1
"Group Patterson","Keith Sanchez",47803.86,2
"Group Patterson","Nathan Richmond",47784.96,3
"Group Paul","Lauren Frey",9021.76,1
"Group Payne","Mark George",15167.05,1
"Group Pearson","Joann Ellis",9619.71,1
"Group Pena","Jocelyn Wright",15458.38,1
"Group Pena","Edwin Kirk",12850.47,2
"Group Perez","Sarah Diaz",6560.70,1
"Group Perkins","Emily Bridges",38975.15,1
"Group Perry","Tina Ramirez",42232.82,1
"Group Perry","Tracy Turner",24972.32,2
"Group Peters","Adam Duarte",43514.50,1
"Group Peters","Robert Lewis",6019.28,2
"Group Peters","Debra Everett",-109.10,3
"Group Petersen","Miguel Miles",40028.15,1
"Group Peterson","Jack Cochran",51958.13,1
"Group Peterson","Todd Cannon",31558.99,2
"Group Peterson","Ricky Foster",29987.38,3
"Group Phelps","Samantha Lee",64384.28,1
"Group Phelps","Carl Jones",28633.12,2
"Group Phillips","Christopher Collins",45314.88,1
"Group Phillips","Tanya Fletcher",34212.46,2
"Group Phillips","Kimberly Andrews",32832.47,3
"Group Pittman","Christine Carr",15650.84,1
"Group Poole","Michael Watson",6544.02,1
"Group Pope","Jimmy Cross",26295.05,1
"Group Potter","Kyle Preston",64733.78,1
"Group Potter","Anthony Williams PhD",18692.99,2
"Group Potts","Marilyn Mitchell",39273.72,1
"Group Powell","Robert Jackson",44523.57,1
"Group Powell","Steven Ortiz",16473.37,2
"Group Preston","Sharon Roberts",5982.46,1
"Group Price","Jennifer Johnson",36486.25,1
"Group Price","Joseph Perez",16235.60,2
"Group Ramirez","Brendan White",29867.15,1
"Group Ramirez","Audrey Rose",20039.18,2
"Group Ramirez","Robert Sanders",14470.27,3
"Group Ramos","Shelly Miller",13872.11,1
"Group Ramos","Cindy Green",3936.51,2
